"Total energy consumption in the residential sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"9,100","9,705","10,472","11,256","13,004","13,857","15,563","16,413","18,203","20,544","23,650","28,350","28,337","27,583","28,066","35,048","39,065","41,906","45,606","37,079","32,997","33,080","38,541","38,625","43,428","44,637","41,487","39,655","39,282","43,778","44,750","43,253","44,507","44,596","45,778","46,821","47,634","46,179","44,942","50,265","48,404","50,813","48,588","49,016","52,350","50,160","56,824","50,947","51,126","50,683","49,180","51,050","51,283","45,558","44,406","49,750","47,676","49,984","46,303","45,543","49,537","51,060","49,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"118,461","114,700","124,708","133,603","140,027","138,486","145,090","145,218","175,828","192,446","207,031","212,394","223,573","238,217","234,102","217,713","234,171","252,295","253,893","234,981","256,959","248,379","250,871","246,997","261,507","260,258","267,557","280,000","287,320","292,868","280,898","284,056","287,511","304,057","300,704","316,428","336,218","315,633","338,840","343,031","370,236","346,578","365,195","348,234","356,075","367,927","374,411","387,829","378,548","353,856","405,336","364,870","328,461","340,505","365,118","336,211","331,714","310,721","342,249","332,225","313,301","323,434","332,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"78,501","78,524","80,049","83,198","90,835","86,678","107,462","109,719","120,283","131,241","138,659","132,279","140,638","146,330","138,667","158,002","161,963","177,276","173,246","167,466","166,527","140,187","145,025","149,045","146,854","145,003","145,270","151,220","157,612","160,968","160,727","165,453","157,566","178,823","176,159","187,184","195,218","188,701","199,988","202,026","218,879","214,597","216,149","211,117","206,123","224,943","220,872","225,012","226,002","218,162","245,831","241,166","217,994","235,604","241,530","221,167","207,232","196,899","229,606","219,593","206,229","216,467","218,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"46,713","48,522","45,639","49,964","57,498","55,139","59,505","62,426","67,891","76,806","83,280","92,368","103,576","115,008","115,556","120,850","126,276","133,334","130,614","138,686","144,705","142,044","145,068","154,427","158,864","174,855","170,576","181,883","192,283","203,050","205,432","209,354","214,959","217,737","233,488","230,999","251,233","257,274","273,432","284,749","314,800","323,477","318,457","330,484","342,228","353,479","368,093","380,183","371,463","360,924","362,975","371,241","361,705","371,251","356,824","362,293","364,791","369,927","375,572","382,013","404,349","384,225","404,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"572,642","594,354","650,206","684,164","762,113","807,347","836,104","891,812","908,642","990,939","1,001,228","1,116,896","1,143,282","1,141,121","1,095,377","1,166,692","1,153,125","1,116,409","1,148,025","1,240,736","1,177,558","1,146,649","1,177,687","1,165,930","1,170,654","1,253,701","1,166,165","1,263,836","1,319,416","1,371,846","1,267,416","1,267,878","1,263,703","1,218,909","1,273,362","1,177,111","1,204,600","1,209,236","1,335,068","1,345,950","1,300,566","1,322,525","1,304,814","1,321,295","1,363,294","1,311,193","1,331,067","1,360,526","1,400,434","1,364,565","1,337,056","1,339,943","1,303,292","1,301,310","1,212,363","1,201,310","1,170,002","1,170,544","1,208,227","1,209,715","1,257,967","1,223,642","1,203,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"89,293","94,165","97,034","89,194","102,823","103,532","119,524","119,584","132,167","137,965","140,743","146,596","159,638","171,755","164,175","160,494","171,762","166,932","166,258","169,940","173,685","182,072","198,866","206,237","199,006","199,712","187,871","189,897","201,207","204,158","214,336","230,220","227,103","241,594","236,787","247,781","261,270","262,679","262,308","276,043","294,906","303,860","319,481","320,166","310,150","324,493","321,495","336,342","335,744","327,723","339,990","336,552","317,473","343,165","332,090","326,187","322,193","316,100","331,927","350,409","337,672","334,017","339,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"153,121","154,275","153,801","154,899","147,511","155,024","153,533","159,299","169,671","178,993","193,248","196,196","207,833","207,740","202,969","195,782","210,767","211,580","214,786","236,496","224,080","222,777","215,013","201,901","205,432","207,501","221,983","228,233","250,120","259,686","250,738","248,714","271,182","265,053","262,774","252,532","258,148","248,065","234,961","255,205","270,188","262,225","260,309","295,821","296,852","285,269","255,275","264,253","253,331","251,826","250,357","236,963","231,935","244,471","246,702","250,515","225,278","227,664","245,708","236,937","225,231","235,078","235,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"23,603","23,413","24,308","24,690","25,122","25,952","26,362","28,518","30,403","31,323","32,956","31,177","31,350","32,235","30,444","29,807","31,186","29,800","30,808","29,050","33,085","29,672","31,923","31,817","37,501","36,911","36,989","36,718","37,305","36,687","35,255","36,509","36,941","39,259","37,273","38,220","39,157","36,227","34,683","35,810","37,720","35,078","37,857","38,521","38,951","38,967","33,601","36,784","35,383","35,481","37,895","34,357","33,009","35,189","36,740","40,468","36,840","35,749","39,048","36,884","33,536","35,566","35,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"24,666","24,169","26,531","28,974","27,398","28,632","30,365","31,277","34,086","35,140","36,638","37,761","39,404","38,877","36,988","38,763","41,690","42,088","41,407","47,441","39,914","33,101","33,584","35,214","43,549","43,500","41,300","45,700","49,033","49,658","49,416","53,682","53,228","53,498","53,667","54,757","57,307","55,495","55,272","58,653","62,856","61,068","66,706","68,416","67,018","69,725","62,531","67,051","67,487","67,260","71,069","66,065","60,636","63,240","64,808","63,851","58,686","57,157","65,343","62,334","58,772","64,631","64,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"117,746","124,951","136,258","153,092","163,944","169,286","192,264","196,978","233,269","266,840","309,379","333,043","363,656","418,172","403,043","407,237","431,465","475,353","506,668","499,192","559,568","559,118","556,668","559,459","603,973","654,584","674,247","696,326","740,912","818,260","878,331","897,520","905,461","919,888","943,471","1,007,165","1,041,271","1,028,274","1,120,158","1,105,460","1,158,479","1,160,719","1,226,842","1,249,770","1,243,035","1,256,746","1,258,765","1,248,144","1,208,919","1,215,334","1,264,768","1,181,363","1,119,610","1,138,042","1,168,972","1,198,838","1,197,492","1,164,616","1,181,051","1,160,862","1,186,547","1,175,759","1,182,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"155,919","155,182","160,370","168,271","179,084","180,664","196,991","202,621","221,404","238,972","252,486","258,442","261,865","278,128","263,687","291,107","300,925","337,501","336,818","316,057","343,691","336,629","336,660","339,375","368,035","372,955","393,358","413,990","432,395","442,300","420,158","432,616","447,892","498,239","476,470","532,808","575,871","558,675","585,358","578,118","649,841","615,886","650,004","667,429","704,344","701,663","703,444","728,522","729,482","714,667","806,895","732,025","659,224","670,701","726,340","683,282","692,955","647,884","714,598","693,478","656,970","671,719","697,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"7,064","7,272","7,685","8,642","9,310","9,821","10,435","11,659","12,581","13,999","15,409","16,704","18,589","18,964","19,263","18,917","20,231","20,676","20,746","21,396","20,981","20,909","19,554","20,058","19,664","19,853","20,392","21,907","22,960","25,243","30,623","26,003","29,590","29,218","29,974","30,689","31,444","31,534","31,746","31,839","32,358","31,648","34,300","31,342","32,095","32,758","32,942","33,072","32,423","32,319","31,635","31,100","29,565","27,939","27,917","27,700","28,045","28,755","29,122","29,502","30,872","30,508","30,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"155,178","156,428","166,050","166,549","168,020","177,654","175,334","184,415","192,981","204,071","211,108","208,105","221,712","219,167","217,264","223,659","222,003","224,697","225,917","244,488","233,000","218,645","232,702","227,922","214,585","203,783","195,054","182,384","204,047","202,331","203,676","220,148","204,348","223,708","218,001","228,676","238,932","231,757","219,831","232,175","235,769","228,374","235,393","235,938","230,261","234,060","223,610","236,094","246,469","230,729","230,991","225,443","199,180","224,388","224,472","196,748","192,804","186,538","214,677","208,341","181,726","180,846","193,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"34,695","34,836","35,713","35,990","38,181","37,419","38,129","44,329","45,826","43,861","45,235","49,613","53,530","54,774","56,441","67,521","69,736","73,748","70,731","75,681","67,716","68,998","71,608","69,925","74,215","77,023","71,334","66,249","70,987","76,109","59,218","64,460","66,732","68,367","71,598","65,622","66,016","65,505","69,022","74,633","85,730","86,854","84,618","83,402","90,183","98,781","97,328","105,956","111,090","99,622","96,729","89,356","86,831","100,217","91,786","97,556","95,733","101,966","97,992","107,454","101,630","109,610","123,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"568,985","584,518","619,140","619,669","641,437","674,172","706,603","732,637","760,001","822,447","836,162","868,165","911,375","876,920","884,476","897,776","944,866","981,412","994,962","917,075","880,193","847,941","846,100","847,080","880,791","848,947","825,252","812,160","897,860","928,051","893,058","957,743","918,827","955,322","936,682","996,290","1,029,076","978,689","914,175","958,276","971,873","949,281","1,006,246","997,820","974,185","1,012,120","947,786","1,001,086","1,024,099","971,053","989,274","969,445","902,018","995,293","1,015,973","908,425","907,591","873,167","971,692","949,652","913,279","902,614","925,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"271,911","278,501","294,235","293,072","295,450","305,553","324,768","341,958","364,836","388,470","402,417","415,745","441,363","427,625","426,615","429,069","433,454","451,756","472,571","453,436","439,983","424,565","429,111","411,360","415,049","406,940","405,477","414,615","449,952","456,224","432,572","460,671","449,934","483,479","473,010","492,269","522,309","502,224","475,100","509,889","515,784","503,120","534,678","548,521","529,881","559,833","516,132","577,490","589,724","555,226","575,619","550,204","511,645","558,860","573,353","522,357","511,910","483,792","544,355","520,965","492,489","502,770","514,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"120,184","132,916","136,680","133,181","135,981","145,163","144,161","140,532","153,022","164,726","174,837","176,930","184,582","183,929","181,083","176,771","182,621","180,089","189,007","183,832","179,577","168,789","180,102","184,250","178,449","180,784","169,783","175,197","184,941","184,631","199,384","210,871","191,327","216,421","207,463","213,485","230,462","219,050","227,335","226,051","238,841","227,150","236,465","235,900","229,218","238,654","227,010","232,899","240,315","233,809","241,237","237,375","210,399","218,599","221,012","201,011","188,618","176,475","202,806","196,190","183,312","179,565","189,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"130,891","126,930","128,837","136,098","134,782","139,062","137,974","154,558","177,982","195,615","204,855","203,617","197,606","202,073","197,855","215,368","241,217","262,371","258,621","254,830","253,736","248,477","249,439","250,143","259,383","256,302","257,754","263,465","280,581","285,364","269,660","295,323","289,803","309,408","306,771","325,700","339,352","324,970","318,359","340,310","354,678","338,896","372,358","364,218","363,234","385,619","366,855","390,383","389,482","376,678","407,223","377,734","356,074","378,157","387,594","353,444","347,485","321,521","359,187","341,720","315,206","326,884","338,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"103,036","104,683","113,254","121,081","134,509","129,055","142,460","153,502","168,393","185,560","199,066","200,865","219,960","236,575","233,197","235,104","241,587","264,493","262,708","265,978","262,741","277,263","269,986","258,015","278,505","281,829","276,286","278,906","281,585","287,568","265,632","270,329","264,729","280,588","280,741","299,736","304,837","296,049","311,888","296,047","317,347","291,447","309,972","286,020","289,241","305,426","267,882","342,273","342,066","347,696","381,348","366,301","334,742","338,053","342,132","328,034","310,164","302,997","325,472","309,292","292,460","305,241","302,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"340,179","349,223","360,261","350,420","345,132","370,964","349,710","377,222","391,061","408,910","427,945","445,851","464,892","468,069","449,761","438,733","470,967","465,768","450,809","376,738","390,110","360,811","361,541","365,819","381,910","385,543","395,781","405,607","422,155","442,134","428,678","410,665","449,840","455,507","453,414","428,933","427,277","415,094","400,967","425,168","456,181","454,023","460,055","470,742","450,632","445,520","404,337","420,395","426,391","419,092","431,487","417,301","395,808","411,898","426,886","424,735","382,823","393,158","413,844","413,820","385,011","392,461","393,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"138,197","147,795","154,619","160,740","165,536","169,334","175,736","189,505","202,494","212,764","226,513","230,769","235,378","242,946","234,660","238,469","248,272","251,611","260,763","268,349","272,854","259,700","261,182","261,147","287,746","280,848","292,043","309,881","333,240","334,530","326,233","344,035","344,597","376,265","372,712","376,482","395,920","370,920","364,878","383,832","402,956","386,994","406,325","427,908","439,835","446,377","403,916","426,860","414,423","415,430","440,499","402,872","385,120","412,691","424,077","408,630","389,207","363,545","392,117","372,662","356,151","364,903","370,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"61,932","69,892","69,720","73,189","65,423","66,780","63,552","71,018","75,058","78,101","79,551","81,434","87,214","84,393","83,495","83,731","99,193","106,509","101,968","92,808","82,512","73,911","73,116","65,091","69,404","80,625","85,048","85,072","92,184","91,242","72,525","72,373","74,180","77,202","74,434","75,491","83,542","75,455","79,359","80,259","80,098","83,296","76,779","95,545","101,232","98,671","86,661","91,143","80,301","83,239","81,849","80,192","72,119","77,066","82,379","98,402","87,825","88,061","95,005","92,825","85,465","84,569","86,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"469,539","490,189","511,205","511,087","511,153","543,980","575,721","603,659","632,449","659,871","682,478","706,470","744,791","732,427","723,418","714,894","729,666","697,568","733,134","726,034","744,278","700,904","689,264","676,183","672,140","680,226","675,918","672,392","733,835","756,226","721,196","724,067","734,345","743,666","727,514","766,183","807,613","781,666","736,163","780,797","804,069","810,739","858,254","870,157","832,732","877,245","787,361","810,711","804,655","751,885","748,224","759,404","696,038","763,438","777,658","730,993","720,038","712,366","775,762","771,464","747,393","733,088","753,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"190,156","194,841","204,036","201,933","211,130","230,525","245,781","246,096","260,860","274,646","287,766","292,688","307,069","296,869","302,302","302,209","308,422","301,511","315,998","312,785","290,796","277,773","305,961","285,396","287,115","297,708","292,367","282,922","320,974","335,031","324,448","341,683","324,271","338,057","338,492","357,908","380,564","356,853","327,862","348,857","364,813","365,434","392,408","420,864","404,292","402,021","384,229","405,047","408,068","393,067","386,629","380,318","352,318","395,117","408,312","358,029","353,513","359,681","404,921","392,805","376,199","379,804","402,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"226,389","229,461","235,443","234,772","236,272","243,576","255,543","261,208","278,704","301,700","313,140","316,363","334,446","332,873","332,270","356,131","361,328","373,624","397,720","396,427","388,820","345,789","355,947","369,249","360,819","363,318","360,937","363,425","388,285","393,256","395,014","429,195","400,871","451,525","435,743","457,707","488,689","476,078","470,046","476,973","499,068","507,721","511,543","508,579","499,636","538,882","517,439","532,171","543,200","522,284","557,291","534,438","486,841","530,934","554,267","490,004","484,617","462,201","545,514","515,114","485,469","484,765","512,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"82,484","80,193","84,662","87,639","92,463","90,938","101,216","99,567","113,698","122,519","137,957","145,919","155,781","157,852","151,744","140,674","141,961","153,715","159,134","153,991","154,794","149,204","152,254","149,535","155,814","159,157","158,800","161,129","166,864","170,601","181,113","182,337","184,206","192,772","197,762","206,016","216,059","207,417","223,766","226,778","246,012","220,722","238,018","237,831","230,335","230,910","229,386","231,684","227,522","220,730","240,291","228,371","194,273","210,681","217,703","196,642","187,712","178,116","200,442","195,828","178,955","189,479","191,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
